车系ID,车型,动力形式,纯电续航里程(km)工信部,纯电续航里程(km)CLTC,高压快充平台,充电时间,快充电量(%),电池类型,电芯品牌,电池容量(kWh),电池能量密度(Wh/kg),电动机,电机类型,电动机总功率,电动机总功率(kW),电动机总马力,电动机总马力(Ps),电动机总扭矩,电动机总扭矩(Nm),前电动机最大扭矩,前电动机最大扭矩(Nm),前电动机最大功率,前电动机最大功率(kW),后电动机最大扭矩,后电动机最大扭矩(Nm),后电动机最大功率,后电动机最大功率(kW),驱动电机数,电机布局
3503,埃安AION LX PLUS 80 智尊版,纯电动,650,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,中创新航,93.3,180.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
3503,埃安AION LX PLUS 80D 旗舰版,纯电动,600,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,中创新航,93.3,175.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
3503,埃安AION LX PLUS 80D Max版,纯电动,600,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,中创新航,93.3,175.0,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
3503,埃安AION LX PLUS 千里版,纯电动,1008,未明确显示,未明确显示,未明确显示,未明确显示,三元锂电池,未明确显示,144.4,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
6116,远航汽车远航H9 650km 四驱奢享版,纯电动,650,650,800V,快充18分钟,80,三元锂电池,亿纬锂能,98,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
6116,远航汽车远航H9 840km 四驱奢享版,纯电动,840,840,800V,快充18分钟,80,三元锂电池,未明确显示,120,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
6116,远航汽车远航H9 950km 四驱远航版,纯电动,950,950,800V,快充18分钟,80,三元锂电池,未明确显示,150,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10177,岚图岚图知音 后驱乾崑版,纯电动,650,650,800V,快充10分钟,20-80,磷酸铁锂电池,宁德时代,81,未明确显示,纯电动单电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,单电机,后置
10177,岚图岚图知音 四驱乾崑版,纯电动,600,600,800V,快充10分钟,20-80,磷酸铁锂电池,宁德时代,81,未明确显示,纯电动双电机,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,双电机,前置+后置
10177,岚图岚图知音 超长续航乾崑版,纯电动,901,901,800V,快充32分钟,20-80,三元锂电池,宁德时代,112,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示,未明确显示
